skill,tech_level_required,specialization_required,description,defaults,difficulty,attribute,modifiers
Archeology,,,"This is the study of ancient civilizations. An archaeologist is at home with excavations, old potsherds, inscriptions, etc. An Archaeology roll lets you answer questions about ancient history, or identify artifacts and dead languages. It might even reveal information relating to the occult; e.g., Ancient Secrets and Things Man Was Not Meant To Know . . .",IQ-6,Hard,Intelligence,
Architecture,,,"This is the ability to design buildings, and to deduce the design of buildings from their function (and vice versa). A successful Architecture roll lets you learn things about a strange building, find a secret room or door, etc. ","IQ-5, Engineer(Civil)-4",Average,Intelligence,-2 if the building is of a strange type; -5 if it is alien.
Area Knowledge,,TRUE,"* You have an IQ default only for Area Knowledge of a place where you live or once lived. Geography only gives a default for Area Knowledge of the specialty region. 

This skill represents familiarity with the people, places, and politics of a given region. You usually have Area Knowledge only for the area you consider your “home base,” whether that’s a single farm or a solar system. If information about other areas is available, the GM may allow you to learn additional Area Knowledge skills. 

The GM should not require Area Knowledge rolls for ordinary situations; e.g., to find the blacksmith, tavern, or your own home. But he could require a roll to locate a smith to shoe your horse at 3 a.m., or to find the best ambush spot along a stretch of road. “Secret” or obscure information might give a penalty, require a Hidden Lore skill (p. 199), or simply be unavailable – GM’s decision. For instance, Area Knowledge of Washington, D.C. gives you the location of the Russian Embassy, but not the KGB’s current safe house. 

The information covered by Area Knowledge often overlaps such skills as Current Affairs, Geography, Naturalist, and Streetwise. The difference is that Area Knowledge works for a single area: you know the habits of this tiger or gang boss, but have no special insight into tigers or gangs in general. 

You can learn Area Knowledge for any sort of area. The larger the territory, the less “personal” and more general your knowledge becomes. Almost everyone will have Area Knowledge of some type. The “canonical” area classes are: 

Neighborhood: For an urban area: the residents and buildings of a few city blocks. For a rural area: the inhabitants, trails, streams, hiding places, ambush sites, flora, and fauna of a few hundred acres. 

Village or Town: All important citizens and businesses, and most unimportant ones; all public buildings and most houses. 

City: All important businesses, streets, citizens, leaders, etc. 

Barony, County, Duchy, or Small Nation: General nature of its settlements and towns, political allegiances, leaders, and most citizens of Status 5+. 

Large Nation: Location of its major cities and important sites; awareness of its major customs, ethnic groups, and languages (but not necessarily expertise); names of folk of Status 6+; and a general understanding of the economic and political situation. 

Planet: As for a large nation, but more general; knowledge of people of Status 7+ only. 

Interplanetary State: Location of major planets; familiarity with all known races (but not necessarily expertise); knowledge of people of Status 7+; general understanding of the economic and political situation. 

Galaxy: Location of the capitals of interplanetary states and the homeworlds of major races; general awareness of all major races; knowledge of individuals of Status 8; general understanding of relations between interplanetary states. 

Area Knowledge for anything larger than a galaxy would be meaninglessly vague. 

Your IQ-4 default applies to any of these classes, as long as you have lived in the area. Defaults are limited by “common knowledge” at your tech level! A TL0 hunter would have a default for every level up to “Village or Town,” while a TL8 student would have defaults up to “Planet” level. You must live in an interplanetary or interstellar state to have defaults for levels above “Planet.” 

In some game worlds, Area Knowledge specialties may exist for parallel realities and other dimensions – Area Knowledge (Cyberspace), Area Knowledge (Dream Realms), etc. The knowledge such skills provide is left to the GM’s judgment.


Distance 
For an area far from your “stomping grounds,” use the penalties under Long-Distance Modifiers (p. 241). However, the speed at which knowledge propagates increases as progressively more powerful tools for managing information appear: printing press, telephone, television, computers, faster-than-light radio, etc. To reflect this, at TL5 and above, the GM may choose to roll 3d against TL+1 (e.g., 9 or less at TL8) to determine whether you are familiar with the distant region from TV, the Internet, etc. On a success, you may ignore all distance penalties. (The GM might also wish to use this rule to determine whether a character’s Reputation is known far from home in a high-tech setting.)

Area Class 
“Area classes” are defined under Area Knowledge skill: Neighborhood; Village or Town; City; Barony, County, Duchy, or Small Nation; Large Nation; Planet; Interplanetary State; and Galaxy. Area class becomes important in campaigns that involve a lot of travel. We assume here that the smaller areas are contained within the larger ones. 

If you have specialized in a larger area and want information about a smaller area within it, the penalty is -2 for one class of difference, -4 for two, -8 for three, and so on, doubling each time. 

If you have specialized in a smaller area and want information about a specific locale within the larger area containing it, the most appropriate solution is usually to use the distance penalties described above. However, questions having to do with the entire large area use a flat -2 per difference in levels. 

Example: Someone with Area Knowledge (Earth) would be at -8 – due to three classes of difference – to know the mayor of Los Angeles. However, someone with Area Knowledge (Los Angeles) would be at -4 to know the location of Mount Rushmore. The same person would be at -10 to know the location of the Library of Congress in Washington, D.C.; the Library of Congress has more to do with Washington than with the United States as a whole, and it’s more appropriate to resolve the question by considering distance. 

Note that in a setting with multiple planes of existence, Area Knowledge skills for one reality can be dangerously unreliable in another. The GM decides the penalty that he will apply when you try to apply your knowledge of your San Francisco to his version.
","IQ-4*, Geography(Regional)-3",Easy,Intelligence,
Armoury,TRUE,,"This is the ability to build, modify, and repair a specific class of weapons or armor. (It does not include skill at design; for that, see Engineer, p. 190.) A successful roll lets you find a problem, if it isn’t obvious; a second roll lets you repair it. Time required is up to the GM. 

You must specialize in one of the following fields: 

Battlesuits: All kinds of powered armor, along with any built-in weaponry. 

Body Armor: Any kind of unpowered personal armor (but not shields). Also defaults to Smith (Bronze)-3 at TL1, to Smith (Iron)-3 at TL2-4, and to Machinist-3 at TL5+. 

Force Shields: Any kind of force screen or deflector – be it personal or vehicular. This is the same skill as Electronics Repair (Force Shields). 

Heavy Weapons: All weapons used with the Artillery and Gunner skills. 

Melee Weapons: Any weapon used with a Melee Weapon or Thrown Weapon skill, as well as all kinds of shields. Also defaults to Smith (Bronze)-3 at TL1, to Smith (Iron)-3 at TL2-4, and to Machinist-3 at TL5+. 

Missile Weapons: Man-portable, pre-gunpowder projectile weapons of all kinds – bows, crossbows, slings, etc. 

Small Arms: All weapons used with the Beam Weapons and Guns skills. Also defaults to Machinist-5 at TL5+. 

Vehicular Armor: All kinds of armored vehicle hulls. 

Most specialties default to one another at -4 – but above TL4, there is no default between Armoury specialties dealing with armor and Armoury specialties dealing with weapons. The technologies covered by each specialty vary with TL. For instance, Armoury (Small Arms) covers black-powder small arms at TL4, repeating small arms that fire cartridges at TL6, “smart” infantry weapons at TL8, and portable beam weapons at TL10. 

The GM should strictly enforce penalties for unfamiliarity. Armoury/TL10 (Small Arms) might cover both beam weapons and portable railguns, but going from one to the other gives you -2 to skill until you familiarize yourself with all the differences.
","IQ-5, Engineer(Same Specialization)-4",Average,Intelligence,"-2 for an unfamiliar item within your specialty (e.g., plate armor when you’re used to mail); equipment modifiers (p. 345)."
Artillery,TRUE,,"This is the ability to use a heavy weapon, such as a trebuchet or a howitzer, for indirect fire – that is, to put fire onto a target area via a high ballistic arc or similar path. For direct fire, use Gunner skill (p. 198). Roll against Artillery skill to bombard the target. 

Loaders can make ST-based Artillery rolls to improve the rate of fire of certain crew-served heavy weapons. See the appropriate weapon description for details. 

You must specialize by weapon type. The available specialties vary by TL, but include one or more of: 

Beams: Any kind of heavy energy weapon that is fired from orbit, bounced off a mirror, or otherwise used against targets you cannot see. 

Bombs: All kinds of unpowered, free-falling munitions. 

Cannon: Any kind of heavy projectile weapon – bombard, howitzer, naval gun, etc. 

Catapult: Any kind of indirect-fire mechanical siege engine, such as a trebuchet. Guided Missile: Any kind of seeking or remotely piloted missile. 

Torpedoes: Any kind of powered underwater projectile. 

There is no default between specialties, some of which (e.g., Torpedoes) cover weapons that bear little or no resemblance to true artillery. Artillery is a single skill only because all the weapons it covers use the same rules.

The weapons covered by each specialty will vary by TL. For instance, Artillery (Cannon) would cover primitive bombards at TL3, brass cannon at TL4, breech-loading howitzers at TL6, and orbital railguns at TL9+. 

Familiarity is crucial here! Artillery (Cannon) covers both 81mm infantry mortars and 406mm naval guns, but going from one to the other will give -2 for weapon type (81mm vs. 406mm), -2 for fire-control (visual spotting vs. fire-direction center), and -2 for mount (bipod vs. naval turret), for a total of -6 to skill until you familiarize yourself with all the differences.

Note that Forward Observer skill (p. 196) is generally required to designate targets for Artillery skill. ",IQ-5,Average,Intelligence,"All relevant combat modifiers; -2 for an unfamiliar firecontrol system (e.g., map coordinates when you’re used to satellite imagery) or mount (e.g., a naval turret when you’re used to emplaced guns), or for an unfamiliar weapon of a known type (e.g., 155mm when you are used to 203mm); -4 or more for a weapon in bad repair."
Artist,,TRUE,"This skill represents talent at a visual art. A successful roll might let you create a recognizable likeness of a person or an object, or a work beautiful enough to sell (the GM should not allow a default roll for this use!). Time required is up to the GM. 

Artist is based on IQ, but there are many situations in which the GM could logically ask for a DX-based roll, in which case modifiers for High Manual Dexterity (p. 59) or HamFisted (p. 138) would apply. In rare cases, even a ST-based Artist roll might make sense – for instance, to work with a physically tough material. 

You must specialize in an art form. Common specialties include: 

Body Art: Tattooing, piercing, and scarification. Both this specialty and Painting suffice for henna or temporary tattoos, but cosmetic surgery requires Surgery skill (p. 223). 

Calligraphy: Beautiful and decorative handwriting. You need not be literate! 

Drawing: All forms of charcoal, ink, pastel, and pencil work. 

Illumination: Decorating written text with miniature paintings and pictures. 

Illusion: Creating believable or evocative illusions. Prerequisite: magical or psionic illusion ability of some kind. 

Interior Decorating: Creating pleasing building interiors by selecting appropriate paints, fixtures, and furniture. Default: Architecture-3. 

Painting: All forms of painting, whether on paper, canvas, or a wall, and whether with tempera, oil-based paint, or something more exotic (like blood). 

Pottery: Working with various sorts of ceramics – especially clay. 

Scene Design: Designing sets for the stage. Default: Architecture-3. 

Sculpting: Creating three-dimensional art from ivory, stone, metal, etc. 

Woodworking: All forms of fine woodwork, including cabinet-making and decorative carving. Default: Carpentry-3. 

Calligraphy, Drawing, Illumination, and Painting default to one another at -2, and to or from Body Art at -4. Interior Decorating, Scene Design, and Woodworking default among themselves at -4. All other Artist specialties default to one another at -6. 

An artist of any kind can take a further optional specialty (p. 169) in a particular medium or technique. 

Many Artist specialties are used to earn a living rather than to create fine art, and some people regard them as “craft” skills, not “art” skills. It is up to you whether you focus on beauty, realism, or functionality. ",IQ-6,Hard,Intelligence,"Equipment modifiers (p. 345); -2 if the medium is unfamiliar (e.g., tempera when you are used to oils); -5 if the medium is difficult (e.g., marble, for a sculptor)."
Astronomy,TRUE,,"This is the study of stars and other extraplanetary objects. An astronomer could answer questions about the Sun, the planets of the solar system, etc. An amateur who can locate stars and use a telescope, but not perform involved calculations, has an optional specialty (p. 169): Astronomy (Observational). This specialty does not require Mathematics as a prerequisite.",IQ-6. Prerequisite: Mathematics(Applied),Hard,Intelligence,
Autohypnosis,,,"This skill allows you to tap reserves of inner strength by entering a trancelike state. It requires a concentration period of (20 - skill) seconds, minimum one second. You cannot talk or move during the initiation of the trance state. A successful skill roll allows you to do one of the following: 

Improve Concentration. You get +2 to skill to perform a specific, lengthy mental task (e.g., break a code or write a computer program), but -2 to all unrelated IQ, Perception, and skill rolls. The task must be a relatively sedate one, done in a quiet place (library, lab, monastery, or placid wilderness). 

Increase Will. You get +2 to Will (+5 on a critical success) for one hour. This applies to all attempts to resist interrogation, torture, or magical or psionic attack. This roll is at -2. 

Negate Pain/Fatigue. Cancels the negative effects of being reduced to less than 1/3 of your FP or HP (but not the fatigue or injury itself). This roll is at -4, and you may only make one attempt per hour.",Meditation-4,Hard,Willpower,
Axe/Mace,,,"Any shorter medium-length, one-handed impact weapon, such as an axe, hatchet, knobbed club, or pick.

An impact weapon is any rigid, unbalanced weapon with most of its mass concentrated in the head. Such a weapon cannot parry if you have already attacked with it on your turn.","DX-5, Flail-4, Two-Handed Axe/Mace-3.",Average,Dexterity,
Battlesuit,TRUE,,"This is training in the use of a specific class of protective suit. Suits designed to shield the wearer from environmental or battlefield hazards frequently incorporate gadgets (such as autoinjectors and sensors) and life-support equipment. Some suits even contain motors to enhance ST or Move. As a result, you do not merely wear such gear – you operate it. 

Roll against Environment Suit skill to get into or out of your suit quickly. A successful roll halves the time required. To activate a specific subsystem of a suit, or to gauge whether a suit is in good repair, make an IQ-based skill roll instead. 

When rolling against DX or any DX-based skill while suited up, use the lower of your Environment Suit skill and your actual skill level. For instance, if you have DX 14, Stealth15, and Vacc Suit-13, you will function at DX 13 and Stealth-13 while wearing a spacesuit. Particularly ungainly suits might give -1 or more to DX on top of this, regardless of skill level. On the other hand, some sleek, ultra-tech suits might not limit skills at all! 

Battlesuit/TL: All kinds of powered battle armor and exoskeletons. Battle armor and exoskeletons are similar but not identical. If you only have experience with one, you are at -2 to operate the other until you gain familiarity (see Familiarity, p. 169). ","DX-5, NBC Suit-2, Vacc Suit-2, Diving Suit-4. ",Average,Dexterity,
Beam Weapons,TRUE,TRUE,"This is the ability to use beam small arms. You must specialize by weapon type: 

Pistol: Any handgun that fires an energy or particle beam. 

Projector: Any energy weapon that emits an area-effect cone or field. 

Rifle: Any long arm that fires an energy or particle beam. 

These specialties default to one another at -4. Treat specific beam types (blaster, laser, stunner, etc.) as familiarities. Other modifiers are as per Guns (p. 198). In settings with both beam and projectile weapons, the Pistol and Rifle specialties of Beam Weapons default to the similarly named Guns specialties at -4, and vice versa. 

See Artillery (p. 178) and Gunner (p. 198) for heavier beam weapons.",DX-4,Easy,Dexterity,Modifiers are as per Guns (p. 198).
Bicycling,,,"This is the ability to ride a bicycle long distances, at high speeds, in rallies, etc. Roll at +4 if all you want to do is struggle along without falling off. An IQ-based Bicycling roll allows you to make simple repairs, assuming tools and parts are available.","DX-4, Driving(Motorcycle)-4",Easy,Dexterity,
Bioengineering,TRUE,TRUE,"This is the ability to engineer living organisms with specific characteristics, or to create biotechnological products. You must specialize: 

Cloning: The creation and growth of clones. 

Genetic Engineering: The manipulation and modification of genes. 

Tissue Engineering: The manufacture of organs and tissues. 

These specialties default to each other at -4. ",Biology-5,Hard,Intelligence,
Biology,TRUE,TRUE,"This is the scientific study of the structure, behavior, and habitats of living organisms. You must specialize in the life of a particular planet type (see box). If you do not specify a planet type, your native planet type is assumed. The IQ default applies only to the planet type you grew up on. The default between different planet-type specialties is -4. 

At TL6+, most biologists have an optional specialty (p. 169) as well. The most common options are biochemistry (the study of the chemical reactions that sustain life), botany (the study of plants), ecology (the study of environments), genetics (the study of heredity and genomes), marine biology (the study of ocean life), microbiology (the study of microscopic organisms), and zoology (the study of animals), but more obscure specialties are possible.


Planet Types 
Biology, Geology (p. 198), and Meteorology (p. 209) require you to specialize by “planet type,” as does the “Physical” specialty of Geography (p. 198). If you do not specify a planet type, your native planet type is assumed – so if the campaign will never leave your home world, save space and just write “Geology,” “Biology,” etc. GURPS sorts planets into six broad categories for these purposes. 

Earthlike: Essentially, all habitable worlds. 

Gas Giants: Jupiter/Uranus types. 

Hostile Terrestrial: Venus types. 

Ice Dwarfs: Comets and small moons composed almost entirely of snow or ice. 

Ice Worlds: Rock worlds covered by a frozen “ocean.” 

Rock Worlds: Most moons, asteroids, etc. 

Unless otherwise specified, all planet-type specialties for a given skill default to one another at -4.","IQ-6, Naturalist-6.",Very Hard,Intelligence,
Blind Fighting,,,"You have learned to fight blindfolded or in absolute darkness. As a result, you can “sense” your targets without having to see them. 

This skill enables you to use senses other than vision – mainly hearing, but also touch and even smell – to pinpoint exactly where your opponents are. A successful roll allows one melee attack or active defense without any penalties for lighting (even total darkness), blindness (temporary or permanent), or an invisible foe. However, attacks made in total darkness, while blind, or against invisible enemies have an extra -2 to target specific hit locations. 

If you also know Zen Archery (p. 228), you can shoot targets without seeing them by making rolls on both skills at -6. 

An opponent who knows you possess this ability can foil it by winning a Quick Contest of Stealth-4 vs. your Blind Fighting each turn. If he wins, you cannot detect him. However, Invisibility Art (p. 202) never works on you; it is completely useless against this skill. ","None. Prerequisites: Trained By A Master, or Weapon Master.",Very Hard,Perception,"Background noise gives a penalty: -1 for rain, -2 for heavy rain or a storm, -3 for a crowded, noisy area or heavy machinery, -4 for a full football stadium, or -5 in the middle of an artillery barrage. If you cannot hear at all, the roll is at -7, but you may still attempt a roll, as the skill is not completely based on hearing. Add your level of Acute Hearing to the roll. Add the higher of your ESP Talent (p. 256) or Telepathy Talent (p. 257)."
Blowpipe,,,"This is the ability to use a blowpipe. You can use this weapon to shoot small, usually poisoned, darts. You can also use it to blow powders at targets within one yard. Treat this as a melee attack, not as a ranged attack. Such attacks are always at +2 to hit. ",DX-6,Hard,Dexterity,"-2 and up for wind, if outdoors."
Boating,TRUE,TRUE,"This is the ability to handle a specific type of small watercraft. For large vessels that require multiple crewmen on a “bridge,” use Seamanship (see Crewman, p. 185) and Shiphandling (p. 220). 

Make a roll to get underway, to dock, and whenever you encounter a hazard. If using this skill at default, also roll when you first enter the boat – to avoid falling in the water! 

You must specialize: 

Large Powerboat: Any boat with an enclosed cabin and an inboard motor. Includes cabin cruisers, houseboats, and patrol boats. Defaults: Motorboat2, Sailboat-4, or Unpowered-4. This specialty (only) also defaults to Seamanship-4. 

Motorboat: Any open powerboat – notably speedboats and any of the boats used with the Sailboat or Unpowered specialty when outfitted with an outboard motor. Defaults: Large Powerboat-2, Sailboat-3, or Unpowered-3. 

Sailboat: Any small watercraft moving under sail. Defaults: Large Powerboat-4, Motorboat-3, or Unpowered-3. 

Unpowered: Any small watercraft that relies on muscle power, whether it is paddled, rowed, or poled. Includes canoes, rowboats, and rafts. Defaults: Large Powerboat-4, Motorboat-3, or Sailboat-3. ","DX-5, IQ-5",Average,Dexterity,"-2 for an unfamiliar boat within your specialty (e.g., a kayak when you’re used to a rowboat); -3 or worse for foul weather, navigational hazards, etc."
Body Control,,,"This ability lets you affect involuntary bodily functions such as heart rate, blood flow, and digestion. One use of this skill is to enter a deathlike trance, during which only those who can win a Quick Contest of Diagnosis vs. your Body Control skill even realize that you are alive. This requires (30 - skill) seconds of concentration, minimum one second. 

You can also use this skill to flush poisons from your body. To do so, you must first roll against Poisons (or Alchemy, Pharmacy, etc., as appropriate) to identify the poison. You cannot attempt this roll until you know you have been poisoned. In most cases, you only discover this when the first symptoms show! A successful Body Control roll – adjusted by any modifier to the HT roll to resist the poison – flushes the poison in 1d hours, after which it has no further effect. 

Finally, you may use the higher of this skill and basic HT to resist any Affliction, magic spell, or psionic attack that is normally resisted by HT.","None. Prerequisites: Trained By A Master, Breath Control, and Meditation.",Very Hard,Health,
Body Language,,,"This is the ability to interpret a person’s facial expressions and body posture in order to gauge his feelings. You can use it like the Empathy advantage (p. 51) or Detect Lies skill (p. 187), but only on a subject you can see. You can also use it to get a rough idea of what a party member is doing or about to do in a situation where he cannot communicate with you directly (for instance, when using Stealth). You can only observe one subject at a time. 

The ability to read body language in combat is a standard part of any Melee Weapon or unarmed combat skill; see Feint (p. 365). 

Modifiers: All Vision modifiers; physiology modifiers (see box); +4 if your subject is Easy to Read (p. 134). Anything that makes the subject harder to “read” gives a penalty: baggy clothing gives -1, a shield or a voluminous cloak gives from -2 to -4, and a mask gives -5 (and makes it impossible to use this skill if you cannot see the rest of the body!).",Detect Lies-4 or Psychology-4,Average,Perception,"Species with similar physiology: -2 (human vs. Elf) to -4 (human vs. troll). 

Species with very different physiology, but still from your world: -5. This includes all normal animals. 

Utterly alien species: -6 or worse (GM’s option). 

Machine: No roll possible! These skills do not work at all on creatures with the Machine meta-trait (p. 263). 

A successful roll against a suitable skill lets you avoid these penalties. This roll is usually against the relevant racial specialty of Physiology, although Biology-4 suffices for common animals."
Body Sense,,,"This is the ability to adjust quickly after teleportation or similar “instant movement.” A successful roll lets you act normally on your next turn. A failed roll means disorientation: you may take no action other than defense for one turn. A critical failure means you fall down, physically stunned!","DX-6, Acrobatics-3",Hard,Dexterity,"+3 for either level of Absolute Direction (p. 34). -2 if you changed facing, or -5 if you went from vertical to horizontal or vice versa (you cannot change posture during a teleport – only orientation)."
Bolas,,,"This is the ability to throw the bolas: a length of cord with two or more weights attached. Its primary uses are to stop herd animals and to hunt small game, but it can also entangle opponents in combat. 

The bolas is a thrown entangling weapon. The target can dodge or block, but if he tries to parry, the bolas hits his parrying arm, with effects as described below. (Exception: A successful parry with a cutting weapon cuts the cords, ruining the bolas!) 

You may aim a bolas at any body part. If it hits, it does its damage and wraps around its target. To escape, the victim requires a free hand, and must make three successful DX rolls. Each attempt counts as a Ready maneuver, during which time the victim may take no other actions. Animals roll to escape at -3 for paws or at -6 for hooves. 

If you hit a weapon, or an arm or hand that is holding something, roll a Quick Contest: your Bolas skill vs. the target’s ST. If you win, the target drops what he’s carrying (this does not affect a shield strapped to the arm). If you hit a leg or foot, you entangle two legs; a running target must make a DX roll or fall, taking 1d-2 damage. If you hit the neck, the bolas cuts off the target’s breathing (see Suffocation, p. 436) until he escapes.",None.,Average,Dexterity,
Bow,,,"This is the ability to use the longbow, short bow, and all similar bows. It also covers the compound bow, although a person who had never seen a compound bow would suffer a -2 unfamiliarity penalty.",DX-5,Average,Dexterity,
Boxing,,,"This is the skill of trained punching. Roll against Boxing to hit with a punch. Boxing does not improve kicking ability – use Brawling (p. 182) or Karate (p. 203) for that. 

Boxing improves damage: if you know Boxing at DX+1 level, add +1 per die to basic thrust damage when you calculate punching damage. Add +2 per die if you know Boxing at DX+2 or better! Work out damage ahead of time and record it on your character sheet. 

When you defend with bare hands, Boxing allows you to parry two different attacks per turn, one with each hand. Your Parry score is (skill/2) + 3, rounded down. Boxing parries are at -2 vs. kicks and -3 vs. weapons other than thrusting attacks. Boxing also gives an improved retreating bonus when you parry; see Retreat (p. 377). For more on barehanded parries, see Parrying Unarmed (p. 376).",None.,Average,Dexterity,
