disadvantage,description,cost,self_control
Berserk,"You tend to rampage out of control when you or a loved one is harmed, making frenzied attacks against whoever or whatever you see as the cause of the trouble. If you also suffer from Bad Temper (above), any stress may trigger Berserk.

Make a self-control roll any time you suffer damage over 1/4 your HP in the space of one second, and whenever you witness equivalent harm to a loved one. If you fail, you go berserk. You go berserk automatically if you fail a self-control roll for Bad Temper! You may deliberately go berserk by taking the Concentrate maneuver and making a successful Will roll. Once you are berserk, the following rules apply:

• If armed with a hand weapon, you must make an All-Out Attack each turn a foe is in range. If no foe is in range, you must use a Move maneuver to get as close as possible to a foe – and if you can Move and Attack, or end your Move with a slam, you will.

• If the enemy is more than 20 yards away, you may attack with a ranged weapon if you have one, but you may not take the Aim maneuver. If using a gun, you blaze away at your maximum rate of fire until your gun is empty. You cannot reload unless your weapon – and your Fast-Draw skill – lets you reload “without thought” (can take no more than one second). Once your gun is empty, you must either draw another gun or charge into melee combat.

• You are immune to stun and shock, and your injuries cause no penalty to your Move score. You make all rolls to remain conscious or alive at +4 to HT. If you don’t fail any rolls, you remain alive and madly attacking until you reach -5xHP. Then you fall – dead!

• When you down a foe, you may (if you wish) attempt another self-control roll to see if you snap out of the berserk state. If you fail (or do not roll), you remain berserk and attack the next foe. Treat any friend who attempts to restrain you as a foe! You get to roll again each time you down a foe, and you get one extra roll when no more foes remain. If you are still berserk, you start to attack your friends . . .

Once you snap out of the berserk state, all your wounds immediately affect you. Roll at normal HT to see whether you remain conscious and alive.

Special Enhancements
Battle Rage. You go berserk in any combat situation, regardless of whether you have been injured. To avoid this, you must make a self-control roll when you first enter combat (even a barroom brawl or a boxing match). +50%.",-10,TRUE
Bestial,"You think and react like a wild animal. You have no concept of “civilized” standards of morality or propriety, and no concept of property. You fight or flee from those who frighten or threaten you. You cannot learn skills that, in the GM’s opinion, rely on “civilized” notions of art or social interaction, and you have no default with such skills.

You are not necessarily out of control; you simply react in an animalistic manner. You will usually ignore those who leave you alone (unless they’re food!), and might even come to display affection for those who treat you with special kindness. You cannot understand property in the human sense, but (depending on your race) you might understand territory and avoid doing damage to objects on another’s territory. Whether you regard humans as individuals with territory rights is an open question! You might also understand dominance, and respect or even obey a human who has proved to be stronger than you.

You cannot take an Odious Personal Habit for your beast-like behavior; that’s included in the cost of Bestial. But if your behavior is extremely repugnant to humans – equivalent in severity to a -15-point Odious Personal Habit – the GM might rule that Bestial is worth -15 points instead of the usual -10. You are free to take Odious Personal Habits unrelated to beast-like behavior (including “eats humans”), however.

Bestial is not necessarily tied to low IQ, but roleplaying a character who is both Bestial and remarkably intelligent would be a major challenge requiring a lot of thought and effort. The GM may therefore choose to restrict Bestial to characters with IQ scores under 10 (or even under 6!), or simply reserve it for NPCs.

Note that the Wild Animal meta-trait (p. 263) includes this disadvantage.",,
Blindness,"You cannot see at all. In unfamiliar territory, you must travel slowly and carefully, or have a companion or guide animal lead you. Many actions are impossible for you; the GM should use common sense.

You are at -6 to all combat skills. You can use hand weapons, but you cannot target a particular hit location. If using a ranged weapon, you can only attack randomly, or engage targets so close that you can hear them. All this assumes you are accustomed to blindness. If you suddenly lose your eyesight, you fight at -10, just as if you were in total darkness. In either case, you suffer no extra penalties for operating in the dark.

If you have Blindness, you cannot purchase superhuman vision abilities. If you see in a spectrum other than the visible one, you have the 0-point version of Infravision (p. 60) or Ultravision (p. 94) – not Blindness and the 10-point version of one of those advantages. Note that Scanning Sense (p. 81) and Vibration Sense (p. 96) are not vision; you may take either of these traits in conjunction with Blindness, at the usual point costs.",-50,
Bloodlust,"You want to see your foes dead. In battle, you must go for killing blows, and put in an extra shot to make sure of a downed foe. You must make a self-control roll whenever you need to accept a surrender, evade a sentry, take a prisoner, etc. If you fail, you attempt to kill your foe instead – even if that means breaking the law, compromising stealth, wasting ammo, or violating orders. Out of combat, you never forget that a foe is a foe.

This may seem a truly evil trait, but many fictional heroes suffer from it. The hero is not a fiend or sadist; his animosity is limited to “legitimate” enemies, be they criminals, enemy soldiers, or feuding clansmen. He often has a good reason for feeling as he does. And, in an ordinary tavern brawl, he would use his fists like anyone else. On the other hand, a gladiator or duelist with Bloodlust would be very unpopular, a policeman would soon be up on charges, and a soldier would risk a court-martial.",-10,TRUE
Bully,"You like to push people around whenever you can get away with it. Depending on your personality and position, this might take the form of physical attacks, intellectual harassment, or social “cutting.” Make a self-control roll to avoid gross bullying when you know you shouldn’t – but to roleplay your character properly, you should bully anybody you can. Since nobody likes a bully, others react to you at -2.",-10,TRUE
Callous,"You are merciless, if not cruel. You can decipher others’ emotions, but you do so only to manipulate them – you don’t care about their feelings or pain. This gives you -3 on all Teaching rolls, on Psychology rolls made to help others (as opposed to deduce weaknesses or conduct scientific research), and on any skill roll made to interact with those who have suffered the consequences of your callousness in the past (GM’s decision). As well, past victims, and anyone with Empathy, will react to you at -1. But ruthlessness has its perks: you get an extra +1 to Interrogation and Intimidation rolls when you use threats or torture.
",-5,
Cannot Learn,"You cannot spend earned character points to add or improve DX, IQ, skills, or mental advantages, nor can you acquire new techniques (see Techniques, p. 229) or familiarities (see Familiarity, p. 169) to accompany existing skills. You are stuck with your starting abilities!

You can still increase your ST and HT, and add physical advantages (with the GM’s permission). As well, Cannot Learn doesn’t prevent you from temporarily acquiring skills using the Modular Abilities advantage (p. 71). Those with computer brains often possess both traits.

This trait is most suitable for golems, mindless undead, robots, and other automata.",-30,
Cannot Speak,"You have a limited capacity for speech. 

Cannot Speak: You can make vocal sounds (bark, growl, trill, etc., as appropriate), but your speech organs are incapable of the subtle modulations required for language. You may still have the Mimicry or Voice advantage, or the Disturbing Voice disadvantage (but not Stuttering). Most animals have this trait.",-15,
Charitable,"You are acutely aware of others’ emotions, and feel compelled to help those around you – even legitimate enemies. Make a self-control roll in any situation where you could render aid or are specifically asked for help, but should resist the urge. If you fail, you must offer assistance, even if that means violating orders or walking into a potential trap.",-15,TRUE
Chronic Depression,"You’ve lost your will to live. You’d commit suicide, but it seems like so much trouble. Make a self-control roll to do anything but acquire and consume the minimum necessities for survival (for instance, to motivate yourself to go to a movie, attend a job interview, or keep a date), or whenever you must choose between two or more actions. If you fail, you take the path of least resistance. This usually means staying put and doing nothing.

If your self-control number is sufficiently low, you will find it almost impossible to do anything at all for yourself, unless someone physically drags you out of your lair. If somebody shows up and demands that you go out and do something with him, make a self-control roll. If you fail, you go along with his plan out of apathy. 

You may eventually replace this disadvantage with another one of equivalent value that is more conducive to self-esteem. The GM need only allow this evolution if you roleplay it convincingly. The GM may also require you to roleplay both disadvantages (the new one constantly, the Chronic Depression whenever the GM decides to bring it into play) during the transition period.

You may also acquire this disadvantage in play. If you violate a self-imposed mental disadvantage (see p. 121), or lose a Dependent, the GM may replace that disadvantage with this one.",-15,TRUE
Chronic Pain,"You have an injury, disorder, or illness that leaves you in severe pain on a regular basis – perhaps even constantly. Examples include arthritis, bone cancer, migraines, and pieces of shrapnel embedded in the body (an “old war wound”). 

Roll against the frequency of appearance for your Chronic Pain once per day. If you roll below this number, you suffer a bout of pain. The timing of this attack is up to the GM, but it usually occurs during waking hours – you might wake up with it, or it might be set off by stress (fatigue, exertion, etc.) during the day.

While in pain, reduce your DX and IQ by the amount specified for the severity of your pain (see below). Reduce self-control rolls to resist disadvantages such as Bad Temper and Berserk by the same amount – someone in pain is more likely to lose his cool. If the GM rules that the attack occurs while you are trying to sleep, you suffer penalties for sleep deprivation instead of the usual effects of this disadvantage.

Chronic Pain attacks endure for a fixed “interval,” after which you may attempt a HT roll to recover. If you succeed, you have dealt with your pain . . . today. If you fail, the attack continues for another interval, after which you may attempt another HT roll. And so on.
 
Find the point cost of Chronic Pain by choosing a severity and then multiplying the given cost to reflect the interval and frequency of attacks. Drop all fractions.

Severity
Mild: -2 to DX, IQ, and self-control rolls: -5 points.

Severe: -4 to DX, IQ, and self-control rolls: -10 points.

Agonizing: -6 to DX, IQ, and self-control rolls: -15 points.

Interval
1 hour: x0.5.
2 hours: x1.
4 hours: x1.5.
8 hours: x2.

Frequency of Appearance
Attack occurs on a roll of 6 or less:  x0.5.

Attack occurs on a roll of 9 or less: x1.

Attack occurs on a roll of 12 or less: x2.

Attack occurs on a roll of 15 or less: x3.
",,
Chummy,"You work well with others and seek out company. This trait comes in two levels:

Chummy: You react to others at +2 most of the time. When alone, you are unhappy and distracted, and suffer a -1 penalty to IQ-based skills.",-5,
Clueless,"You totally miss the point of any wit aimed at you, and are oblivious to attempts to seduce you (+4 to resist Sex Appeal). The meanings of colloquial expressions escape you. Sophisticated manners are also beyond you, giving -4 to Savoir-Faire skill. You have many minor habits that annoy others (e.g., leaving the turn signal on while driving from Chicago to Albuquerque), and may take one or two of these as quirks. Most people will react to you at -2.

Unlike No Sense of Humor (p. 146), you may make jokes – albeit lame ones – and you can appreciate slapstick and written humor. However, you rarely “get” verbal humor, especially if you are the target (roll vs. IQ-4 roll to realize you’re the butt of the joke). And unlike Gullibility (p. 137), you normally realize when someone is trying to take advantage of you, except in social situations. You are no more susceptible to Fast-Talk than normal, save when someone is trying to convince you that an attractive member of the appropriate sex is interested in you . . .

This disadvantage is most appropriate for ivory-tower geniuses, aliens from Mars, etc.",-10,
Code of Honor,"You take pride in a set of principles  that you follow at all times. The specifics can vary, but they always involve “honorable” behavior. You will do nearly anything – perhaps even risk death – to avoid the label “dishonorable” (whatever that means).

You must do more than pay lip service to a set of principles to get points for a Code of Honor. You must be a true follower of the Code! This is a disadvantage because it often requires dangerous – if not reckless – behavior. Furthermore, you can often be forced into unfair situations, because your foes know you are honorable.

Code of Honor is not the same as Duty (p. 133) or Sense of Duty (p. 153). A samurai or British grenadier marches into battle against fearful odds out of duty, not for his personal honor (though of course he would lose honor by fleeing). The risks you take for your honor are solely on your own account.

The point value of a particular Code of Honor depends on how much trouble it is liable to get you into and how arbitrary and irrational its requirements are. An informal Code that applies only among your peers is worth -5 points. A formal Code that applies only among peers, or an informal one that applies all the time, is worth -10 points. A formal Code that applies all the time, or that requires suicide if broken, is worth -15 points. The GM has the final say! Some examples:

Code of Honor (Pirate’s): Always avenge an insult, regardless of the danger; your buddy’s foe is your own; never attack a fellow crewman or buddy except in a fair, open duel. Anything else goes. This is also suitable for brigands, bikers, etc. -5 points.

Code of Honor (Professional): Adhere to the ethics of your profession; always do your job to the best of your ability; support your guild, union, or professional association. This is most suitable for lawyers and physicians (Hippocratic Oath), but dedicated tradesmen, merchants, and so forth may have a similar Code. -5 points.

Code of Honor (Gentleman’s): Never break your word. Never ignore an insult to yourself, a lady, or your flag; insults may only be wiped out by an apology or a duel (not necessarily to the death!). Never take advantage of an opponent in any way; weapons and circumstances must be equal (except in open war). This only applies between gentlemen. A discourtesy from anyone of Status 0 or less calls for a whipping, not a duel! -10 points.

Code of Honor (Soldier’s): An officer should be tough but fair, lead from the front, and look out for his men; an enlisted man should look out for his buddies and take care of his kit. Every soldier should be willing to fight and die for the honor of his unit, service, and country; follow orders; obey the “rules of war”; treat an honorable enemy with respect (a dishonorable enemy deserves a bullet); and wear the uniform with pride. -10 points.

Code of Honor (Chivalry): As Code of Honor (Gentleman’s), except that flags haven’t been invented. Respond to any insult to your liege-lord or to your faith. Protect any lady, and anyone weaker than yourself. Accept any challenge to arms from anyone of greater or equal rank. Even in open war, sides and weapons must be equal if the foe is also noble and chivalrous. -15 points.",-5,
Cold-Blooded,"Your body temperature fluctuates with the temperature of the environment. You are less susceptible to damage from high or low body temperature (+2 HT to resist the effects of temperature), and require only 1/3 the food needed by a warm-blooded being of equal mass, but you tend to “stiffen up” in cold weather.

After 30 minutes in cold conditions (or one hour if you have any level of Temperature Tolerance), you get -1 to Basic Speed and DX per 10° below your “threshold temperature” (see below). At temperatures below 32°, you must roll vs. HT or take 1 HP of damage. Warm clothing gives +2 to this roll.

You regain lost Basic Speed and DX at the rate of one point of each per hour once you return to a warm climate. Double this rate in an exceptionally warm environment.

Point value depends on your “threshold temperature”:

You “stiffen up” below 50°: -5 points.

You “stiffen up” below 65°: -10 points.
",-5,
Colorblindness,"You cannot see any colors at all (this is total colorblindness). In any situation requiring color identification (e.g., gem buying, livery identification, or pushing the red button to start the motor), the GM should give you appropriate difficulties. Certain skills are always harder for you. In particular, you are at -1 on most Artist, Chemistry, Driving, Merchant, Piloting, and Tracking rolls.",-10,
Combat Paralysis,"You tend to “freeze up” in combat situations, and receive -2 to all Fright Checks. This has nothing to do with Cowardice (p. 129) – you may be brave, but your body betrays you.

In any situation in which personal harm seems imminent, make a HT roll. Do not roll until the instant you need to fight, run, pull the trigger, or whatever. Any roll over 13 is a failure, even if you have HT 14+. On a success, you can act normally. On a failure, you are mentally stunned (see Effects of Stun, p. 420). Make another HT roll every second, at a cumulative +1 per turn after the first, to break the freeze. A quick slap from a friend gives +1 to your cumulative roll.

Once you unfreeze, you will not freeze again until the immediate danger is over. Then, in the next dangerous situation, you may freeze once again. This trait is the opposite of Combat Reflexes (p. 43). You cannot have both.",-15,
Compulsive Behaviour,"You have a habit – often a vice – that wastes a good deal of your time or money. You must indulge at least once per day, if at all possible, and do so any time you have the opportunity unless you can make a self-control roll. You seek to avoid any situation where you know you will be unable to indulge for more than a day. You must make a self-control roll to enter into such a situation; if you succeed (or are forced into the situation), you suffer from Bad Temper (p. 124) the whole time, with the same self-control roll as your Compulsive Behavior. It’s bad roleplaying to try to avoid your compulsion regularly!

The point value of this disadvantage depends on how much your habit costs and how much trouble it is likely to get you into. The GM is the final judge. Examples include:

Compulsive Carousing: You cannot resist the urge to party! Once per day, you must seek out a social gathering and lounge around – feasting, drinking, singing, and joking – for at least an hour. If you are not invited, you crash the party; if there is no party, you attempt to liven things up. Money is no object! If you have it, you will spend it. You try almost any mind-altering substance without a second thought, never refuse a social drink, and aren’t particularly picky about your romantic partners. You get +1 to reactions from like-minded extroverts, but -1 or worse from sober-minded citizens – and -4 in puritanical settings. -5 points* (-10 points* in puritanical settings).

Compulsive Gambling: You cannot pass up an opportunity to gamble. Bets, wagers, games of chance, and even lotteries hold an uncanny fascination for you. If there is no game of chance or bet going, you will start one. You try any gambling game proposed to you, whether you know it or not. You do not have to have the Gambling skill, but if you don’t, you will need a steady source of wealth! If you are prevented from gambling – for instance, by traveling with nongamblers – you will quickly earn a reaction penalty (-1 per -5 points in this disadvantage, after the self-control multiplier) by constantly talking about gambling and attempting to draw others into games or wagers. -5 points.*

Compulsive Generosity: You are too open-handed. If a beggar asks for cash, you give – and where others give copper, you give silver. You always listen to larger requests for financial aid, if they are even remotely plausible, and you must make a self-control roll whenever you hear a good hard-luck story (if you are broke when asked, you apologize profusely). You aren’t a complete sucker – you just feel guilty about being better off than others. In a society with a lot of beggars around, increase your cost of living:

Self-Control Number	Cost of Living Increase
6	20%
9	15%
12	10%
15	5%

This may earn you a +1 reaction bonus from pious folk; if you are poor yourself, the reaction bonus may be even higher. This trait is incompatible with Miserliness. -5 points.* 

Compulsive Lying: You lie constantly, for no reason other than the joy of telling the tale. You delight in inventing stories about your deeds, lineage, wealth – whatever might impress your audience. Even when exposed as a liar, you cling to your stories tenaciously, calling your accuser a liar and a scoundrel. Make a self-control roll to tell the pure, unvarnished truth. If you fail, you lie – no matter how dire the consequences. When you roll to tell the truth to your fellow party members, roll out of sight of the other players. Thus, they can never be sure they are getting accurate information. -15 points.*

Compulsive Spending: Cash just runs through your fingers! You enjoy being seen as a big spender, are too fond of luxury, or find the experience of buying to be fun – perhaps all three. Make a self-control roll whenever someone offers you a purchase that matches any of your quirks or interests, and the cash in your pocket is more than twice the asking price. If you fail, you buy. This raises your cost of living, and gives you a penalty to Merchant skill when you bargain or haggle:

Self-Control Number	Cost of Living Increase	Merchant Skill Penalty
6	80%	-4
9	40%	-3
12	20%	-2
15	10%	-1

Compulsive Spending is not limited to the wealthy! A poor farmer can be a spendthrift. This trait is incompatible with Miserliness (it’s the opposite!), but you can combine it with Greed. -5 points.*

Compulsive Vowing: You never simply decide to do something; you must make it an oath. Although these vows are often trivial in nature, you approach them all with the same solemnity and dedication. You may tack extraneous vows onto legitimate ones. -5 points.*
",-5,TRUE
