spell,spell_class,description,duration,cost_to_cast,cost_to_maintain,time_to_cast,prerequisites,difficulty,spell_college,item_enchantment
Body of Air,Regular; Resisted by HT,"The subject’s body becomes vaporous, temporarily granting the subject the Body of Air meta-trait (p. B262). Clothes (up to 6 pounds) also become vaporous, but lose any magic powers they might have had while in this form.

Body of Air

Cost: 36 points.
Attributes
ST 0 [-100]; HP+10 [20]        [-80]
Advantages
Doesn't Breathe [20]; Flight (Lighter Than Air, -10%) [36]; Immunity to Metabolic Hazards [30]; Injury Tolerance (Diffuse) [100];        186
Disadvantages
No Legs (Aerial) [0]; No Manipulators [-50]; Vulnerability (Vacuum and wind-based attacks x2) [-20]        [-70]
Features
Taboo Trait (Fixed ST)        [0]",1 minute,4,1,5 seconds,Shape Air,Hard,Air,"(a) Staff, wand, or jewelry; only affects the wearer. Unfortunately, as soon as it is activated, the item falls through the user’s hand – thus, a spell cast with this item lasts only a minute.
Energy cost to create: 800.

(b) Staff, wand, or jewelry. Unlike the previous item, this item becomes vaporous along with the subject, allowing the subject to maintain the spell longer than 1 minute. It loses any other magic powers it might have while in vaporous form.
Energy cost to create:1,500."
Devitalize Air,Area,"Removes the life-sustaining essence from the air within its area of effect, rendering it unbreathable. Until the “dead” air dissipates, any being who needs to breathe begins to suffocate (see Suffocation, p. B436), and flames within the spell’s area of effect flicker and die. Victims may not notice the spell’s effect until they begin losing FP; roll vs. Per to notice the changed quality of the air. Sleeping victims must roll vs. HT to wake up once they begin suffocating.

The spell lasts until living air diffuses back into the affected area. This takes 1 minute per yard of radius in an unventilated area, or as little as 10 seconds on a windy day outdoors. In an airtight room, the air stays devitalized  indefinitely! Purify Air reverses this spell’s effects.",,2,,,Destroy Air,Hard,Air,"Staff, wand, or jewelry.
Cost to create: 300 energy and a $200 onyx."
Walk on Air,Regular,"Temporarily grants the subject the Walk on Air advantage (p. B97). If the subject falls for any reason (e.g., injury), the spell will be broken! If the spell is recast immediately, he falls for only one second (about 5 yards) and then “lands” on the air (taking 1d damage) – unless he hits ground before then. If he’s 10 feet over a lava pit, too bad!",1 minute,3,2,,Shape Air,Hard,Air,"Staff, wand, jewelry, or shoes; only affects the wearer.
Cost to create: 500 energy and $1,000."
Wall of Wind,Area,"Surrounds an area with a wall of roiling air that impedes movement. The wall is one yard thick and four yards high, but may be made higher by multiplying the cost as you multiply the height (double for 8 yards high, triple for 12 yards high, and so on). Low-tech missiles are buffeted off course as they cross it, and suffer a -10 penalty to hit for every yard of wall they pass through. High-tech bullets suffer a -2 penalty to hit for every yard of the wall of wind they pass through. Beings standing within the wall’s thickness are at -3 DX and suffer 2d of knockback in a random direction every second.

The wall also churns up loose ground material, such as dust, small leaves, insects, and twigs. Each second, beings crossing the wall or standing in it must either shut their eyes or roll vs. HT to avoid being blinded, as per a one-point Sand Jet (p. 52) (unless the GM rules that the area is very clean, with no debris to circulate).",1 minute,2,Half,"The wall appears as soon as the casting starts, initially surrounding a one-yard-radius area; the caster may move the perimeter outward at a rate of one yard of radius per second of concentration.",Shape Air,Hard,Air,"Staff, wand, or jewelry. Usable only by mages.
Cost to create: 400 energy and a $500 onyx."
Windstorm,Area,"Create a circular windstorm with an “eye” of calm inside (a good place for the caster to stand). The radius of the eye can be up to half that of the storm – or smaller, if the caster wishes. By concentrating, the caster can move the storm any distance up to its own diameter per second; the eye moves with it. The caster may move up to half his normal Move inside the eye while concentrating on this spell.

Anyone within a full-strength Windstorm must roll vs. ST once per second  to avoid being knocked over by the wind. All DX-based skills are at -5,  and ranged attacks are at a -10 penalty for every yard of the windstorm they pass through.

For double energy cost, the caster may create a more powerful wind-storm, like a tornado. ST rolls to remain standing in such a gale are at -5, ranged attacks through it are impossible, and visibility inside it is a yard at best. This powerful windstorm physically lifts and hurls objects up to 30 pounds per yard of radius.",1 minute after reaching full strength.,2,Half,"The storm starts immediately, but the caster must concentrate for a number of seconds equal to the storm’s radius in yards to bring the storm to full strength.
",Shape Air,Hard,Air,
Earth to Air,Regular,"Turns earth or stone into air, which can be valuable to someone who is trapped underground. The more energy the caster spends, the more earth he can transform, but he is limited to regular shapes with the largest dimension no more than four times the smallest one.",Permanent,"1 to transform one cubic foot of earth/stone to air, giving enough air for one person to breathe for 1 minute. To transform larger quantities of earth/stone at once, the cost is 5 per cubic yard. Metal may be turned to air for triple cost.",,2 seconds,Create Air and Shape Earth,Hard,"Air, Earth","Staff, wand, or jewelry. Usable only by mages. The item must touch the stone to be transformed.
Cost to create: 750 energy and $1,000 in jewels."
Clouds,Area,"Creates or dispels normal outdoor cloud cover, as the caster chooses.","10 minutes, after which normal clouds leave or return unless the spell is maintained.
",1/20 (minimum 1).,Same,10 seconds,At least two Water spells and two Air spells.,Hard,"Air, Weather","Staff, wand, or jewelry.
Energy cost to create: 300.
"
Predict Weather,Information,"Forecasts the weather accurately for a given location over a given time. This forecast does not take magical meddling into account, or predict the actions of other wizards!

This spell cannot predict weather on planets or planes other than the one where the caster currently is.",,"2 times the length of the forecast, in days. Double the cost for a location outside the general area (say, over the horizon). Quadruple the cost for a place on another continent.",,5 seconds per day forecast.,At least four Air spells.,Hard,"Air, Weather",
Wind,Special; Area,"Modifies the current outdoor wind conditions. Each application of the spell can shift the wind direction by 22.5 degrees (from W to WSW, for example), or change wind speed by one level on the Beaufort Scale (see Magic). To achieve combined direction/speed changes, or more extreme changes in one or the other, increase cost proportionately.

The spell may be cast on an area, affecting the wind moving over it from the ground to an altitude of about 300 feet. It can also be cast on an object, such as a sailing ship, which it must then encompass in its entirety. The area of effect then moves with the object.",1 hour,1/50 (minimum 1).,Same,1 minute,Windstorm,Hard,"Air, Weather","Staff, wand, or jewelry.
Energy cost to create: 300."
Rain,Area,Creates (or prevents) 1 inch of rain in a normal outdoor setting.,1 hour,1/10 (minimum 1). Cost to make rain doubles in a desert or other area (GM’s determination) where rain is unnatural. Cost to prevent rain doubles in a naturally rainy or swampy area.,Same,1 minute,Clouds,Hard,"Air, Weather, Water.","Staff or wand. Usable only by a mage. The item must be kept in water when not in use; it loses its powers if it stays dry for more than an hour.
Energy cost to create: 600."
Snow,Area,"Creates (or prevents) 1 inch of snow, in a normal outdoor setting. To work properly, this spell must be cast when the temperature is 32°F (0°C) or lower. When cast under warmer conditions, this spell simply summons a thin drizzle, dampening the ground but not leaving any significant puddles.",1 hour,1/15 (minimum 1). Each additional 1/15 energy per yard radius increases the amount of snow by 1 inch per hour.,Same,,Clouds and Frost,Hard,"Air, Weather, Water","Staff. It must be kept cool when not in use; it loses its powers if it is exposed to temperatures over 90° for more than two hours. Usable only by a mage.
Energy cost to create: 450."
Concussion,Missile,"The caster creates a ball of highly pressurized air in his hand. When the air strikes a target, it explodes. The blast is extremely loud; anyone within 10 yards must roll against HT-3 or be stunned. Stunned people may roll against HT-3 every second to recover. Protected Hearing gives a +5 bonus to this roll.

Concussion has 1/2D 20, Max 40, Acc 1; roll vs. Innate Attack skill to hit.

For every 2 energy put into the spell, the missile does 1d crushing damage. See AOE, Cones, Explosions, for a full treatment of explosive damage.",,"Any amount up to twice your Magery level per second, for three seconds.",,1 to 3 seconds,Shape Air and Thunderclap,Hard,"Air, Sound","Staff or wand – the missile is thrown from the end of the item. Usable only by mages.
Cost to create: 1,000 energy and a $400 onyx.
"
Breathe Air,Regular,"Breathe air as though it were water; the spell also prevents water creatures from dehydrating in air. This spell is primarily useful for keeping fish, mermen, etc., alive out of water. The subject can also still breathe water normally.",1 minute,3,1,,Create Water and Destroy Air,Hard,"Air, Water","Staff, wand, jewelry, or clothing; only affects the wearer.
Energy cost to create: 150.
"
Breathe Water,Regular,"Allows the subject to breathe water as though it were air, temporarily granting Doesn’t Breathe (Gills) (p. B49). The subject does not lose the ability to breathe ordinary air! At the GM’s discretion, this spell may also include the equivalent of Pressure Support 1 (p. B77), allowing the subject to venture into deep water without concern.",1 minute,4,2,,Create Air and Destroy Water,Hard,"Air, Water","Clothing or jewelry.
Energy cost to create: 400.
"
Essential Air,Area,"Creates the magical essence of Air. Essential Air is “purer” and can be used (breathed or consumed) three times as long before becoming foul. Fire burns hotter (but not faster) in Essential Air, adding an extra point of damage to each die (this will even increase the heat of Essential Flame!). If the air is created in an open area, it disperses within 5 seconds.",Permanent until dispersed or used up.,2,,3 seconds,At least six Air spells.,Hard,Air,"Staff, wand, or jewelry. Usable only by mages.
Cost to create: 800 energy and a $400 onyx.
"
Resist Lightning,Regular,"The subject and anything he carries become immune to the effects of lightning and electricity. In low-tech settings, this is most often used to guard against hostile magic; in higher-tech worlds, it becomes a valuable professional tool.",1 minute,2,1,,Any six Air spells.,Hard,"Air, Weather, Protection and Warning","(a) Any. Only affects the wearer.
Cost to create: 1,000 energy and $1,000 in platinum.

(b) Wand, staff, or jewelry.
Cost to create: 1,500 energy and $1,000 in platinum.
"
Lightning,Missile,"Shoots a bolt of lightning from a fingertip. This bolt has 1/2D 50, Max 100, Acc 3. Treat any metal armor as DR 1 against this spell! If the target is wounded, he must make a HT roll, at -1 per 2 HP suffered, or be stunned. He may attempt a HT roll each turn thereafter to recover. Against electronic equipment, treat this attack as if it had the Surge damage modifier (see p. B105). Lightning behaves unpredictably around conductors. A lightning bolt cannot be fired through a metal grid, between bars, from within a car, etc. – it jumps to the metal and is lost. However, the GM may (for instance) allow a wizard to shoot a lightning bolt into a metal floor. This would not electrocute those on it, but could shock them all, interrupting concentration and doing slight damage (no more than 1 point, and possibly none at all). The GM may encourage creative use of lightning until it becomes a nuisance.

The bolt does 1d-1 burning damage per energy point.",,"Any amount up to your Magery level per second, for three seconds.",,1 to 3 seconds (the caster’s fingers spark as the spell builds).,Magery 1 and at least six other Air spells.,Hard,"Air, Weather","Staff or wand – the bolt is fired from the end of the item. Usable only by mages.
Cost to create: 800 energy, $1,200 for platinum decorations."
Air Vortex,Area; Resisted by HT or DX,"Whisks all persons within the original area of effect to somewhere else inside a giant swirling Air Vortex. The Vortex has a Move of 10. The caster may exclude anyone in the area that he specifies during casting. Those within in the area resist with the higher of their HT and DX scores. Those whisked away by the Vortex are rendered temporarily vaporous, as per the Body of Air spell. The Vortex may not penetrate solid objects.",10 seconds,8,3,2 seconds,"Magery 2, Body of Air, and Windstorm",Hard,"Air, Movement","Staff. Usable only by mages.
Cost to create: 1200 energy and an $800 onyx."
Explosive Lighting,Missile,"Creates a lightning bolt that affects both its target and things nearby. This has 1/2D 50, Max 100, Acc 3. It can be thrown at a wall, floor, etc. (at +4 to hit) to catch foes in the blast. The target and anyone closer to the target than one yard takes full damage. Those further away divide damage by three times their distance in yards from the explosion (round down; See AOE, Cones, Explosions). The effects  of lightning damage listed under Lightning apply.

The lightning bolt does 1d-1 burning damage per full 2 points of energy.",,"Any amount up to twice your Magery level per second, for three seconds.
",,1 to 3 seconds.,Lightning,Hard,"Air, Weather","Staff or wand – the bolt is fired from end of item. Usable only by a mage.
Energy cost to create: 1,200; must include platinum decorations worth $500."
Lightning Whip,Regular,"Creates a whip of lightning in the caster’s hand. It is wielded like a normal whip (p. B404), except that it always takes only one second to ready, and it cannot be used to parry or entangle. The whip inflicts 1d burning damage every time it strikes. The effects of lightning damage listed under Lightning apply.",10 seconds,1 to cast per two yards of reach (maximum of 8 yards).,Same,2 seconds,Lightning,Hard,"Air, Weather","Glove, whip, or jewelry. Usable only by mages.
Energy cost to create: 350.
"
Shocking Touch,Melee,"Charges the caster’s hands or staff with lightning. The caster must strike the subject to trigger this spell; hit location is irrelevant. The subject takes 1d+1 burning damage per point of energy in the spell. Armor does not protect. Shocking Touch has unusual side effects on electronics and conductive materials, as per Lightning.",,1 to 3,,,Lightning,Hard,"Air, Weather","Staff, wand, or glove. The item must touch the subject.
Energy cost to create: 1,500."
Spark Cloud,Area,"Creates a ground-level cloud of electrical sparks. It does not block vision, but it inflicts burning damage to anyone standing in it. Armor protects in the usual fashion (metallic armor provides the same minimal protection that it does against Lightning).

The cloud inflicts 1 point of damage per second for every point of energy put into the base cost.",10 seconds,1 to 5,,"1 to 5 seconds, depending on base cost.",Shape Air and Lightning,Hard,"Air, Weather","Staff, wand, or jewelry. Usable only by mages.
Cost to create: 150 energy, $500 in platinum, and a $500 opal."
Spark Storm,Area,"Creates a normal Windstorm, with a dangerous addition: every turn Lightning strikes one random victim in the area of effect. To resolve the bolt’s attack, roll against the caster’s Spark Storm skill, without any range adjustments. The victim gets an active defense, as usual.
At the GM’s option, the lightning strikes may not be completely random: tall targets may be at more risk than short ones, and metal armor may tend to attract the lightning. Mages who use this spell know what the true rules are in their world.",1 minute after reaching full strength.,"2 (1d-1 Lightning), 4 (2d-2 Lightning) or 6 (3d-3 Lightning) to cast.",Half,"The storm starts immediately, but the caster must concentrate for a number of seconds equal to the storm’s radius in yards to bring the storm to full strength.
",Windstorm and Lightning,Hard,"Air, Weather","Staff, wand, or jewelry. Usable only by mages.
Cost to create: 300 energy, $500 in platinum ,and a $500 opal."
Atmosphere Dome,Area,"Creates a shimmering dome that is selectively permeable to gases. It can either drive out specified gases, or draw them in. When the dome is created, the caster defines a target atmospheric composition; when the target level for each component gas is reached, the dome ceases acting on that gas until conditions inside the dome change. The composition selected by the caster specifies both proportions and total pressure; this spell can thus be used either to change the composition of the air within the dome or its pressure relative to the surrounding area, or both. An Atmosphere Dome cannot create gas where none exists; if there is no oxygen in a planet’s atmosphere, a dome set to accumulate oxygen remains empty.",6 hours,4,Half,,Purify Air and Weather Dome,Hard,"Air, Weather, Protection and Warning",
Wall of Lightning,Area,"Creates a shimmering, crackling curtain of lightning around an area. The wall is four yards high, but may be made higher by scaling the cost as the height (double for 8 yards high, triple for 12 yards high and so on). Every turn, anyone crossing or touching the wall suffers burning damage. It impedes vision and hearing through it: -1 to these Sense rolls.

Each turn, the Wall inflicts 1d-1 burning damage for every two points of energy put into its base cost.",1 minute,2 to 6,Same,,Lightning,Hard,"Air, Weather","(a) Staff, wand, or jewelry. Usable only by mages.
Cost to create: 500 energy and a $500 opal.

(b) A Wall of Lightning may be made permanent at an energy cost of 100 times normal."
Warm,Area,"Raises the ambient air temperature of an area. This could be used to dissipate Fog, for example. The spell cannot raise the temperature above 100°F (37.78°C).",1 hour,1/10 (minimum 1). Each base cost application raises the ambient temperature by 10°F.,Same,1 minute per base cost application.,Heat and at least four Air spells.,Hard,"Air, Weather","Staff. Usable only by a mage.
Energy cost to create: 150."
Cool,Area,Lowers the ambient air temperature of an area. This may cause fog to appear if the conditions are right. The spell cannot lower the temperature below about -40°F (-40°C).,1 hour,1/10 (minimum 1). Each base cost application lowers the ambient temperature by 10°F.,Same,1 minute per base cost application.,Cold and at least four Air spells.,Hard,"Air, Weather","Staff. Usable only by a mage.
Energy cost to create: 150."
Ball of Lightning,Missiles,"Creates a ball of lightning in the caster’s hand. Unlike a regular Missile spell, however, a Ball of Lightning floats away in the direction the caster wills it to; it cannot be hurled in the usual fashion. The ball is utterly silent and moves in a straight line at a maximum speed equal to the caster’s skill divided by 5 (round down), regardless of wind and nonmetallic obstacles – the ball floats right through windows, curtains, walls, etc. It maintains its heading and speed unless the caster concentrates to change it. The ball explodes on the mental command of the caster or upon contact with a living being or metallic object. If the spell is allowed to expire, the Ball winks out of existence without exploding.

The ball inflicts 1d-1 burning damage for every 2 full points of energy to anyone within 1 yard of the explosion. Those further away divide damage by three times their distance in yards (round down; See AOE, Cones, Explosions).",1 minute,"Any amount up to twice your Magery level per second, for three seconds.",Half,1 to 3 seconds; the ball grows in the caster’s hand as the casting progresses.,Apportation and Lightning,Hard,"Air, Weather","Staff, wand, or jewelry. Usable only by mages.
Cost to create: 600 energy and a $500 opal."
Lightning Stare,Regular,"The caster shoots Lightning from his eyes, using DX-4 or Innate Attack skill to hit. The caster must be facing the target to use this spell. The typical ritual for this spell uses facial motions rather than hand gestures; thus, Lightning Stare can be cast “no hands” at any level of skill.",1 second,1 to 4,,2 seconds,"Lightning, Resist Lightning",Hard,"Air, Weather","Jewelry. Usable only by mages.
Cost to create: 1,000 energy, $500 worth of platinum, and a $500 opal."
Body of Lightning,Regular; Resisted by HT,"Subject becomes an animated shape of lightning, temporarily granting him the Body of Lightning metatrait (see box). Clothes (up to 6 pounds) also become lightning, but lose any magic powers they might have had. Stop Power acts as Glue and Steal Power acts as Steal Strength on the subject.

Does 1d burning damage per point of energy put into the stare. Range is 2 yards per point of energy.

New Meta-Trait: Body of Lightning [56 points]
Body of Lightning: Your body is made of lightning.
Attributes
ST 0 [-100]; HP +10 [20];
Advantages
Burning Attack 1d (Always On, -40%; Aura, +80%; Melee Attack, Reach C, -30%) [6];  Doesn’t Breathe [20]; DR 10 (Limited: Electricity, -40%) [30]; Immunity to Metabolic Hazards [30]; Injury Tolerance (Diffuse) [100];
Disadvantages
No Manipulators [-50];
Features
(Affected by Energy Spells (p. 178) [0]; and Taboo Trait (Fixed ST) [0].",1 minute. The spell is broken if the subject loses consciousness.,12,4,5 seconds,Magery 2 and Lightning,Hard,"Air, Weather","(a) Staff, wand, or jewelry. Only affects the wearer. A severe drawback is that, as soon as it is activated, the item falls through the user’s hand – thus a spell cast with this item lasts only a minute.
Energy cost to create: 3,000.

(b) Staff, wand, or jewelry. Only affects the wearer. Unlike the previous item, this item turns to lightning along with the wearer. While in lightning form, it loses any other magical powers it might ordinarily have.
Energy cost to create: 6,000."
Lightning Weapon,Regular,"The subject melee weapon becomes charged with lightning, visibly spitting and sparking, without harming its wielder. The weapon must be at least partly metallic; weapons made entirely of wood and/or stone won’t hold the spell. The weapon does an additional 2 points of injury after armor penetration and wounding modifiers have been figured. Against metallic armor, the weapon inflicts at least 1 point of damage on any hit.",1 minute,4,1,2 seconds,Magery 2 and Lightning,Hard,"Air, Weather","A weapon that becomes electrified whenever used, at no energy cost to the user.
Energy cost to create: 750; at least $300 must be spent in platinum and opal decorations."
Sandstorm,Area,"Creates a Windstorm with the addition of flying sand! The sand is created by the spell – it is not necessary for the area to be sandy. The Sandstorm obscures vision (-2 per intervening yard of Sandstorm, excluding the “eye” of the storm).

Each second, every being within the area must shut its eyes or roll vs. HT to avoid being blinded, as per a one-point Sand Jet (p. 52).",1 minute after reaching full strength.,3,Half,"The storm starts immediately, but the caster must concentrate for a number of seconds equal to the storm’s radius in  yards to bring the storm to full strength.",Windstorm and Create Earth,Hard,"Air, Earth","Staff, wand, or jewelry. Usable only by mages.
Energy cost to create: 1,000."
Storm,Area,"Creates (or dispels) a storm. Depending on ambient temperature and humidity, it may be a simple windstorm or include rain, snow or hail – the odd lightning bolt, too. This is particularly effective at sea. The spell is unpredictable in its effects (which is to say the GM decides what the storm does . . . ).
The spell can also be used to dispel a storm; the effectiveness of the spell depends on the relative sizes of the affected area versus the natural storm’s full area.",1 hour,1/50 (minimum 1).,Same,"1 minute. An incipient storm will take about an hour to gather and reach full strength. Once the spell lapses, it may take a varying length of time to calm down – it may even keep going on its own for hours yet! A dispelled storm will also take about an hour to calm down.",Rain and Hail,Hard,"Air, Weather, Water","Staff. Usable only by a mage.
Energy cost to create: 1,000."
Lightning Missiles,Regular,"Like Lightning Weapon, but cast on a missile weapon. The weapon itself becomes surrounded with an electric halo. Any missile it fires becomes charged with lightning, doing 2 additional points of injury as per Lightning Weapon. The missile’s wooden parts turn to ash after it hits a target or after 10 seconds, whichever comes first.",1 minute,"4,
Cost doubles if the missiles to be fired are nonmetallic.","2,
Cost doubles if the missiles to be fired are nonmetallic.",3 seconds,Lightning Weapon,Hard,"Air, Weather","A missile weapon that fires lightning missiles whenever used, at no energy cost to the user.
Energy cost to create: 1,000; at least $400 must be spent in platinum and opal decorations."
Lightning Armor,Regular,"The subject is sheathed in crackling lightning, without feeling any discomfort (the subject and anything he carries are under a Resist Lightning spell). The subject’s melee attacks do an extra point of burning damage. Any metallic weapon that hits the subject triggers a 1d-1 backlash of burning damage along the weapon. This attack automatically hits the hand that is holding the weapon, regardless of the weapon’s length, as long as its entire length is conducting. Should the subject grapple or be grappled, the foe takes 3d-3 burning damage, but the spell will be broken.",1 minute,7,4,,At least six Lightning spells including Resist Lightning,Hard,"Air, Weather","(a) Staff or jewelry. Usable only by mages.
Cost to create: 1,000 energy and $300 worth of platinum and opals.

(b) Cape or armor; only affects the wearer. When activated, the cape seems like a piece of sheet lightning; it will protect against attacks from the back and sides, but not from the front, unless it is wielded as a light cloak (see Cloak, p. B184).
Energy cost to create: 700 for the cape, 1,000 for armor."
Body of Wind,Regular; Resisted by HT,"The subject’s body becomes a whirlwind, with a radius of 2 to 4 yards (caster’s choice). In this form, he has a variant form of the Body of Air meta-trait (see below); he lacks the listed Vulnerability to vacuum and wind-based attacks, he has No Fine Manipulators rather than the usual No Manipulators, and he has effective ST equal to twice his normal ST. Clothes (up to 6 pounds), also become wind, but lose any magic powers they might have had while in wind-form.

Anyone within the radius of the subject must make a ST roll each second to remain standing. All DX-based skills are at -5, and missile attacks that pass through the whirlwind only hit on a critical success. There is no safe “eye.”

Body of Air
Cost: 36 points.
Attributes
ST 0 [-100]; HP+10 [20]        [-80]
Advantages
Doesn't Breathe [20]; Flight (Lighter Than Air, -10%) [36]; Immunity to Metabolic Hazards [30]; Injury Tolerance (Diffuse) [100];        186
Disadvantages
No Legs (Aerial) [0]; No Manipulators [-50]; Vulnerability (Vacuum and wind-based attacks x2) [-20]        [-70]
Features
Taboo Trait (Fixed ST)        [0]",5 minutes,"8,
Cost does not multiply when casting it on larger creatures, as with most Regular spells.",4,"2 seconds; the storm springs into full strength immediately upon completion of the spell.
","Magery 3; Body of Air and Windstorm at 16+ each; and one spell from each of five different colleges besides Air.
",Hard,Air,"(a) Staff, wand, or jewelry; only affects the wearer. As soon as it is activated, the item falls through the user’s hand; thus, a spell cast with this item lasts only a minute.
Cost to create: 1,700 energy and a $1,000 onyx.

(b) Staff, wand, or jewelry; only affects the wearer. Unlike the previous item, this item turns to wind along with the wearer, allowing him to maintain the spell longer than a minute. While vaporous, it loses any magical powers it might have while solid.
Cost to create: 3,500 energy and a $2,500 onyx.
"
